strain_id	isolate_id
lieberman2016_P34_lineage2.2.1_strain1	SRR4033765
lieberman2016_P34_lineage2.2.1_strain1	SRR4033766
lieberman2016_P34_lineage2.2.1_strain1	SRR4033768
lieberman2016_P34_lineage2.2.1_strain1	SRR4033769
lieberman2016_P34_lineage2.2.1_strain1	SRR4033770
lieberman2016_P34_lineage2.2.1_strain1	SRR4033771
lieberman2016_P34_lineage2.2.1_strain1	SRR4033772
lieberman2016_P34_lineage2.2.1_strain1	SRR4033773
lieberman2016_P34_lineage2.2.1_strain1	SRR4033774
lieberman2016_P34_lineage2.2.1_strain1	SRR4033775
lieberman2016_P34_lineage2.2.1_strain1	SRR4033776
lieberman2016_P34_lineage2.2.1_strain1	SRR4033777
lieberman2016_P34_lineage2.2.1_strain1	SRR4033779
lieberman2016_P34_lineage2.2.1_strain1	SRR4033780
lieberman2016_P34_lineage2.2.1_strain1	SRR4033781
lieberman2016_P34_lineage2.2.1_strain1	SRR4033783
lieberman2016_P34_lineage2.2.1_strain1	SRR4033784
lieberman2016_P34_lineage2.2.1_strain1	SRR4033785
lieberman2016_P34_lineage2.2.1_strain1	SRR4033786
lieberman2016_P34_lineage2.2.1_strain1	SRR4033787
lieberman2016_P34_lineage2.2.1_strain1	SRR4033790
lieberman2016_P34_lineage2.2.1_strain1	SRR4033791
lieberman2016_P34_lineage2.2.1_strain1	SRR4033792
lieberman2016_P34_lineage2.2.1_strain1	SRR4033793
lieberman2016_P34_lineage2.2.1_strain1	SRR4033794
lieberman2016_P34_lineage2.2.1_strain1	SRR4033796
lieberman2016_P34_lineage2.2.1_strain1	SRR4033797
lieberman2016_P34_lineage2.2.1_strain1	SRR4033798
lieberman2016_P34_lineage2.2.1_strain1	SRR4033799
lieberman2016_P34_lineage2.2.1_strain1	SRR4033801
lieberman2016_P34_lineage2.2.1_strain1	SRR4033802
lieberman2016_P34_lineage2.2.1_strain1	SRR4033803
lieberman2016_P34_lineage2.2.1_strain1	SRR4033804
lieberman2016_P34_lineage2.2.1_strain1	SRR4033805
lieberman2016_P34_lineage2.2.1_strain1	SRR4033806
lieberman2016_P34_lineage2.2.1_strain1	SRR4033807
lieberman2016_P34_lineage2.2.1_strain1	SRR4033808
lieberman2016_P34_lineage2.2.1_strain1	SRR4033809
lieberman2016_P34_lineage2.2.1_strain1	SRR4033810
lieberman2016_P34_lineage2.2.1_strain1	SRR4033812
lieberman2016_P34_lineage2.2.1_strain1	SRR4033813
lieberman2016_P34_lineage2.2.1_strain1	SRR4033814
lieberman2016_P34_lineage2.2.1_strain1	SRR4033815
lieberman2016_P34_lineage2.2.1_strain1	SRR4033816
lieberman2016_P34_lineage2.2.1_strain1	SRR4033817
lieberman2016_P34_lineage2.2.1_strain1	SRR4033818
lieberman2016_P34_lineage2.2.1_strain1	SRR4033819
lieberman2016_P34_lineage2.2.1_strain1	SRR4033820
lieberman2016_P34_lineage2.2.1_strain1	SRR4033821
lieberman2016_P34_lineage2.2.1_strain1	SRR4033823
lieberman2016_P34_lineage2.2.1_strain1	SRR4033824
lieberman2016_P34_lineage2.2.1_strain1	SRR4033825
lieberman2016_P34_lineage2.2.1_strain1	SRR4033826
lieberman2016_P34_lineage2.2.1_strain1	SRR4033827
lieberman2016_P34_lineage2.2.1_strain1	SRR4033828
lieberman2016_P34_lineage2.2.1_strain1	SRR4033829
lieberman2016_P34_lineage2.2.1_strain1	SRR4033830
lieberman2016_P34_lineage2.2.1_strain1	SRR4033831
lieberman2016_P34_lineage2.2.1_strain1	SRR4033832
lieberman2016_P34_lineage2.2.1_strain1	SRR4033834
lieberman2016_P34_lineage2.2.1_strain1	SRR4033835
lieberman2016_P34_lineage2.2.1_strain1	SRR4033836
lieberman2016_P34_lineage2.2.1_strain1	SRR4033837
lieberman2016_P34_lineage2.2.1_strain1	SRR4033838
lieberman2016_P34_lineage2.2.1_strain1	SRR4033839
lieberman2016_P34_lineage2.2.1_strain1	SRR4033840
lieberman2016_P34_lineage2.2.1_strain1	SRR4033841
lieberman2016_P34_lineage2.2.1_strain1	SRR4033842
lieberman2016_P34_lineage2.2.1_strain1	SRR4033843
lieberman2016_P34_lineage2.2.1_strain1	SRR4033846
lieberman2016_P34_lineage2.2.1_strain1	SRR4033847
lieberman2016_P34_lineage2.2.1_strain1	SRR4033848
lieberman2016_P34_lineage2.2.1_strain1	SRR4033849
lieberman2016_P34_lineage2.2.1_strain1	SRR4033850
lieberman2016_P34_lineage2.2.1_strain1	SRR4033851
lieberman2016_P34_lineage2.2.1_strain1	SRR4033852
lieberman2016_P34_lineage2.2.1_strain1	SRR4033853
lieberman2016_P34_lineage2.2.1_strain1	SRR4033854
lieberman2016_P34_lineage2.2.1_strain1	SRR4033855
lieberman2016_P34_lineage2.2.1_strain1	SRR4033857
lieberman2016_P34_lineage2.2.1_strain1	SRR4033858
lieberman2016_P34_lineage2.2.1_strain1	SRR4033859
lieberman2016_P34_lineage2.2.1_strain1	SRR4033860
lieberman2016_P34_lineage2.2.1_strain1	SRR4033861
lieberman2016_P34_lineage2.2.1_strain1	SRR4033864
lieberman2016_P34_lineage2.2.1_strain1	SRR4033865
lieberman2016_P34_lineage2.2.1_strain1	SRR4033866
lieberman2016_P34_lineage2.2.1_strain1	SRR4033868
lieberman2016_P34_lineage2.2.1_strain1	SRR4033869
lieberman2016_P34_lineage2.2.1_strain1	SRR4033870
lieberman2016_P34_lineage2.2.1_strain1	SRR4033871
lieberman2016_P34_lineage2.2.1_strain1	SRR4033872
lieberman2016_P34_lineage2.2.1_strain1	SRR4033873
lieberman2016_P34_lineage2.2.1_strain1	SRR4033874
lieberman2016_P34_lineage2.2.1_strain1	SRR4033875
lieberman2016_P34_lineage2.2.1_strain1	SRR4033876
lieberman2016_P34_lineage2.2.1_strain1	SRR4033877
lieberman2016_P34_lineage2.2.1_strain1	SRR4033879
lieberman2016_P34_lineage2.2.1_strain1	SRR4033880
lieberman2016_P34_lineage2.2.1_strain1	SRR4033881
lieberman2016_P34_lineage2.2.1_strain1	SRR4033882
lieberman2016_P34_lineage2.2.1_strain1	SRR4033883
lieberman2016_P34_lineage2.2.1_strain1	SRR4033884
lieberman2016_P34_lineage2.2.1_strain1	SRR4033885
lieberman2016_P34_lineage2.2.1_strain1	SRR4033886
lieberman2016_P44_lineage2.2.1_strain1	SRR4034650
lieberman2016_P44_lineage2.2.1_strain1	SRR4034651
lieberman2016_P44_lineage2.2.1_strain1	SRR4034652
lieberman2016_P44_lineage2.2.1_strain1	SRR4034654
lieberman2016_P44_lineage2.2.1_strain1	SRR4034655
lieberman2016_P44_lineage2.2.1_strain1	SRR4034656
lieberman2016_P44_lineage2.2.1_strain1	SRR4034657
lieberman2016_P44_lineage2.2.1_strain1	SRR4034658
lieberman2016_P44_lineage2.2.1_strain1	SRR4034659
lieberman2016_P44_lineage2.2.1_strain1	SRR4034661
lieberman2016_P44_lineage2.2.1_strain1	SRR4034662
lieberman2016_P44_lineage2.2.1_strain1	SRR4034663
lieberman2016_P44_lineage2.2.1_strain1	SRR4034664
lieberman2016_P44_lineage2.2.1_strain1	SRR4034665
lieberman2016_P44_lineage2.2.1_strain1	SRR4034666
lieberman2016_P44_lineage2.2.1_strain1	SRR4034667
lieberman2016_P44_lineage2.2.1_strain1	SRR4034668
lieberman2016_P44_lineage2.2.1_strain1	SRR4034669
lieberman2016_P44_lineage2.2.1_strain1	SRR4034670
lieberman2016_P44_lineage2.2.1_strain1	SRR4034672
lieberman2016_P44_lineage2.2.1_strain1	SRR4034673
lieberman2016_P44_lineage2.2.1_strain1	SRR4034674
lieberman2016_P44_lineage2.2.1_strain1	SRR4034675
lieberman2016_P44_lineage2.2.1_strain1	SRR4034676
lieberman2016_P44_lineage2.2.1_strain1	SRR4034677
lieberman2016_P44_lineage2.2.1_strain1	SRR4034678
lieberman2016_P44_lineage2.2.1_strain1	SRR4034679
lieberman2016_P44_lineage2.2.1_strain1	SRR4034680
lieberman2016_P44_lineage2.2.1_strain1	SRR4034681
lieberman2016_P44_lineage2.2.1_strain1	SRR4034683
lieberman2016_P44_lineage2.2.1_strain1	SRR4034684
lieberman2016_P44_lineage2.2.1_strain1	SRR4034685
lieberman2016_P44_lineage2.2.1_strain1	SRR4034686
lieberman2016_P44_lineage2.2.1_strain1	SRR4034687
lieberman2016_P44_lineage2.2.1_strain1	SRR4034688
lieberman2016_P44_lineage2.2.1_strain1	SRR4034689
lieberman2016_P44_lineage2.2.1_strain1	SRR4034690
lieberman2016_P44_lineage2.2.1_strain1	SRR4034691
lieberman2016_P44_lineage2.2.1_strain1	SRR4034692
lieberman2016_P44_lineage2.2.1_strain1	SRR4034694
lieberman2016_P44_lineage2.2.1_strain1	SRR4034695
lieberman2016_P44_lineage2.2.1_strain1	SRR4034696
lieberman2016_P44_lineage2.2.1_strain1	SRR4034697
lieberman2016_P44_lineage2.2.1_strain1	SRR4034698
lieberman2016_P44_lineage2.2.1_strain1	SRR4034699
lieberman2016_P44_lineage2.2.1_strain1	SRR4034700
lieberman2016_P44_lineage2.2.1_strain1	SRR4034701
lieberman2016_P44_lineage2.2.1_strain1	SRR4034702
lieberman2016_P44_lineage2.2.1_strain1	SRR4034703
lieberman2016_P44_lineage2.2.1_strain1	SRR4034705
lieberman2016_P44_lineage2.2.1_strain1	SRR4034706
lieberman2016_P44_lineage2.2.1_strain1	SRR4034707
lieberman2016_P44_lineage2.2.1_strain1	SRR4034709
lieberman2016_P44_lineage2.2.1_strain1	SRR4034710
lieberman2016_P44_lineage2.2.1_strain1	SRR4034711
lieberman2016_P44_lineage2.2.1_strain1	SRR4034712
lieberman2016_P44_lineage2.2.1_strain1	SRR4034713
lieberman2016_P44_lineage2.2.1_strain1	SRR4034714
lieberman2016_P44_lineage2.2.1_strain1	SRR4034809
lieberman2016_P44_lineage2.2.1_strain1	SRR4034810
lieberman2016_P44_lineage2.2.1_strain1	SRR4034811
lieberman2016_P44_lineage2.2.1_strain1	SRR4034813
lieberman2016_P44_lineage2.2.1_strain1	SRR4034814
lieberman2016_P44_lineage2.2.1_strain1	SRR4034815
lieberman2016_P44_lineage2.2.1_strain1	SRR4034817
lieberman2016_P44_lineage2.2.1_strain1	SRR4034818
lieberman2016_P44_lineage2.2.1_strain1	SRR4034819
lieberman2016_P44_lineage2.2.1_strain1	SRR4034820
lieberman2016_P44_lineage2.2.1_strain1	SRR4034821
lieberman2016_P44_lineage2.2.1_strain1	SRR4034822
lieberman2016_P44_lineage2.2.1_strain1	SRR4034824
lieberman2016_P44_lineage2.2.1_strain1	SRR4034825
lieberman2016_P44_lineage2.2.1_strain1	SRR4034826
lieberman2016_P44_lineage2.2.1_strain1	SRR4034827
lieberman2016_P44_lineage2.2.1_strain1	SRR4034828
lieberman2016_P44_lineage2.2.1_strain1	SRR4034829
lieberman2016_P44_lineage2.2.1_strain1	SRR4034830
lieberman2016_P44_lineage2.2.1_strain1	SRR4034831
lieberman2016_P44_lineage2.2.1_strain1	SRR4034833
lieberman2016_P44_lineage2.2.1_strain1	SRR4034835
lieberman2016_P44_lineage2.2.1_strain1	SRR4034836
lieberman2016_P44_lineage2.2.1_strain1	SRR4034837
lieberman2016_P44_lineage2.2.1_strain1	SRR4034838
lieberman2016_P44_lineage2.2.1_strain1	SRR4034839
lieberman2016_P44_lineage2.2.1_strain1	SRR4034840
lieberman2016_P44_lineage2.2.1_strain1	SRR4034841
lieberman2016_P44_lineage2.2.1_strain1	SRR4034842
lieberman2016_P44_lineage2.2.1_strain1	SRR4034843
lieberman2016_P8_lineage2.2.1_strain1	SRR4034738
lieberman2016_P8_lineage2.2.1_strain1	SRR4034739
lieberman2016_P8_lineage2.2.1_strain1	SRR4034740
lieberman2016_P8_lineage2.2.1_strain1	SRR4034741
lieberman2016_P8_lineage2.2.1_strain1	SRR4034742
lieberman2016_P8_lineage2.2.1_strain1	SRR4034743
lieberman2016_P8_lineage2.2.1_strain1	SRR4034744
lieberman2016_P8_lineage2.2.1_strain1	SRR4034745
liu2020_A_lineage2.2.1_strain1	ERR3559073
liu2020_A_lineage2.2.1_strain1	ERR3559074
liu2020_A_lineage2.2.1_strain1	ERR3559075
liu2020_A_lineage2.2.1_strain1	ERR3559076
liu2020_A_lineage2.2.1_strain1	ERR3559077
liu2020_A_lineage2.2.1_strain1	ERR3559078
liu2020_A_lineage2.2.1_strain1	ERR3559079
liu2020_A_lineage2.2.1_strain1	ERR3559080
liu2020_A_lineage2.2.1_strain1	ERR3559081
liu2020_A_lineage2.2.1_strain1	ERR3559082
liu2020_A_lineage2.2.1_strain1	ERR3559083
liu2020_A_lineage2.2.1_strain1	ERR3559084
liu2020_A_lineage2.2.1_strain1	ERR3559085
liu2020_A_lineage2.2.1_strain1	ERR3559086
liu2020_A_lineage2.2.1_strain1	ERR3559087
liu2020_A_lineage2.2.1_strain1	ERR3559088
liu2020_A_lineage2.2.1_strain1	ERR3559089
liu2020_A_lineage2.2.1_strain1	ERR3559090
liu2020_A_lineage2.2.1_strain1	ERR3559091
liu2020_A_lineage2.2.1_strain1	ERR3559092
liu2020_A_lineage2.2.1_strain1	ERR3559093
liu2020_A_lineage2.2.1_strain1	ERR3559094
liu2020_A_lineage2.2.1_strain1	ERR3559095
liu2020_A_lineage2.2.1_strain1	ERR3559096
liu2020_A_lineage2.2.1_strain1	ERR3559097
liu2020_A_lineage2.2.1_strain1	ERR3559098
liu2020_A_lineage2.2.1_strain1	ERR3559099
liu2020_A_lineage2.2.1_strain1	ERR3559100
liu2020_A_lineage2.2.1_strain1	ERR3559101
liu2020_A_lineage2.2.1_strain1	ERR3559102
liu2020_A_lineage2.2.1_strain1	ERR3559103
liu2020_A_lineage2.2.1_strain1	ERR3559104
liu2020_A_lineage2.2.1_strain1	ERR3559105
liu2020_A_lineage2.2.1_strain1	ERR3559106
liu2020_A_lineage2.2.1_strain1	ERR3559107
liu2020_A_lineage2.2.1_strain1	ERR3559108
liu2020_A_lineage2.2.1_strain1	ERR3559109
liu2020_A_lineage2.2.1_strain1	ERR3559110
liu2020_A_lineage2.2.1_strain1	ERR3559111
liu2020_A_lineage2.2.1_strain1	ERR3559112
liu2020_A_lineage2.2.1_strain1	ERR3559113
liu2020_A_lineage2.2.1_strain1	ERR3559114
liu2020_A_lineage2.2.1_strain1	ERR3559115
liu2020_A_lineage2.2.1_strain1	ERR3559116
liu2020_A_lineage2.2.1_strain1	ERR3559117
liu2020_A_lineage2.2.1_strain1	ERR3559118
liu2020_A_lineage2.2.1_strain1	ERR3559119
liu2020_B_lineage2.2.1_strain1	ERR3559121
liu2020_B_lineage2.2.1_strain1	ERR3559122
liu2020_B_lineage2.2.1_strain1	ERR3559123
liu2020_B_lineage2.2.1_strain1	ERR3559124
liu2020_B_lineage2.2.1_strain1	ERR3559125
liu2020_B_lineage2.2.1_strain1	ERR3559126
liu2020_B_lineage2.2.1_strain1	ERR3559127
liu2020_B_lineage2.2.1_strain1	ERR3559128
liu2020_B_lineage2.2.1_strain1	ERR3559129
liu2020_B_lineage2.2.1_strain1	ERR3559130
liu2020_B_lineage2.2.1_strain1	ERR3559131
liu2020_B_lineage2.2.1_strain1	ERR3559132
liu2020_B_lineage2.2.1_strain1	ERR3559133
liu2020_B_lineage2.2.1_strain1	ERR3559134
liu2020_B_lineage2.2.1_strain1	ERR3559135
liu2020_B_lineage2.2.1_strain1	ERR3559136
liu2020_B_lineage2.2.1_strain1	ERR3559137
liu2020_B_lineage2.2.1_strain1	ERR3559138
liu2020_B_lineage2.2.1_strain1	ERR3559139
liu2020_B_lineage2.2.1_strain1	ERR3559140
liu2020_B_lineage2.2.1_strain1	ERR3559141
liu2020_B_lineage2.2.1_strain1	ERR3559142
liu2020_B_lineage2.2.1_strain1	ERR3559143
liu2020_B_lineage2.2.1_strain1	ERR3559144
liu2020_B_lineage2.2.1_strain1	ERR3559145
liu2020_B_lineage2.2.1_strain1	ERR3559146
liu2020_B_lineage2.2.1_strain1	ERR3559147
liu2020_B_lineage2.2.1_strain1	ERR3559148
liu2020_B_lineage2.2.1_strain1	ERR3559150
liu2020_B_lineage2.2.1_strain1	ERR3559151
liu2020_B_lineage2.2.1_strain1	ERR3559152
liu2020_B_lineage2.2.1_strain1	ERR3559153
liu2020_B_lineage2.2.1_strain1	ERR3559154
liu2020_B_lineage2.2.1_strain1	ERR3559155
liu2020_B_lineage2.2.1_strain1	ERR3559156
liu2020_B_lineage2.2.1_strain1	ERR3559157
liu2020_B_lineage2.2.1_strain1	ERR3559158
liu2020_B_lineage2.2.1_strain1	ERR3559159
liu2020_B_lineage2.2.1_strain1	ERR3559160
liu2020_B_lineage2.2.1_strain1	ERR3559161
liu2020_B_lineage2.2.1_strain1	ERR3559162
liu2020_B_lineage2.2.1_strain1	ERR3559163
liu2020_B_lineage2.2.1_strain1	ERR3559164
liu2020_B_lineage2.2.1_strain1	ERR3559165
liu2020_B_lineage2.2.1_strain1	ERR3559166
liu2020_B_lineage2.2.1_strain1	ERR3559167
liu2020_B_lineage2.2.1_strain1	ERR3559168
liu2020_B_lineage2.2.1_strain1	ERR3559169
liu2020_B_lineage2.2.1_strain1	ERR3559170
liu2020_B_lineage2.2.1_strain1	ERR3559171
liu2020_B_lineage2.2.1_strain1	ERR3559172
liu2020_C_lineage2.2.1_strain1	ERR3559174
liu2020_C_lineage2.2.1_strain1	ERR3559175
liu2020_C_lineage2.2.1_strain1	ERR3559176
liu2020_C_lineage2.2.1_strain1	ERR3559177
liu2020_C_lineage2.2.1_strain1	ERR3559178
liu2020_C_lineage2.2.1_strain1	ERR3559179
liu2020_C_lineage2.2.1_strain1	ERR3559180
liu2020_C_lineage2.2.1_strain1	ERR3559181
liu2020_C_lineage2.2.1_strain1	ERR3559182
liu2020_C_lineage2.2.1_strain1	ERR3559183
liu2020_C_lineage2.2.1_strain1	ERR3559184
liu2020_C_lineage2.2.1_strain1	ERR3559185
liu2020_C_lineage2.2.1_strain1	ERR3559186
liu2020_C_lineage2.2.1_strain1	ERR3559187
liu2020_C_lineage2.2.1_strain1	ERR3559188
liu2020_C_lineage2.2.1_strain1	ERR3559189
liu2020_C_lineage2.2.1_strain1	ERR3559190
liu2020_C_lineage2.2.1_strain1	ERR3559191
liu2020_C_lineage2.2.1_strain1	ERR3559192
liu2020_C_lineage2.2.1_strain1	ERR3559193
liu2020_C_lineage2.2.1_strain1	ERR3559194
liu2020_C_lineage2.2.1_strain1	ERR3559195
liu2020_C_lineage2.2.1_strain1	ERR3559196
liu2020_C_lineage2.2.1_strain1	ERR3559197
liu2020_C_lineage2.2.1_strain1	ERR3559198
liu2020_C_lineage2.2.1_strain1	ERR3559199
liu2020_C_lineage2.2.1_strain1	ERR3559200
liu2020_C_lineage2.2.1_strain1	ERR3559201
liu2020_C_lineage2.2.1_strain1	ERR3559202
liu2020_C_lineage2.2.1_strain1	ERR3559203
liu2020_C_lineage2.2.1_strain1	ERR3559204
liu2020_C_lineage2.2.1_strain1	ERR3559205
liu2020_C_lineage2.2.1_strain1	ERR3559206
liu2020_C_lineage2.2.1_strain1	ERR3559207
liu2020_C_lineage2.2.1_strain1	ERR3559208
liu2020_C_lineage2.2.1_strain1	ERR3559209
liu2020_C_lineage2.2.1_strain1	ERR3559210
liu2020_C_lineage2.2.1_strain1	ERR3559211
liu2020_C_lineage2.2.1_strain1	ERR3559212
liu2020_C_lineage2.2.1_strain1	ERR3559213
liu2020_C_lineage2.2.1_strain1	ERR3559214
liu2020_C_lineage2.2.1_strain1	ERR3559215
liu2020_C_lineage2.2.1_strain1	ERR3559216
liu2020_C_lineage2.2.1_strain1	ERR3559217
liu2020_C_lineage2.2.1_strain1	ERR3559218
liu2020_C_lineage2.2.1_strain1	ERR3559219
liu2020_C_lineage2.2.1_strain1	ERR3559220
liu2020_C_lineage2.2.1_strain1	ERR3559221
liu2020_C_lineage2.2.1_strain1	ERR3559222
liu2020_C_lineage2.2.1_strain1	ERR3559223
liu2020_E_lineage2.2.1_strain1	ERR3559224
liu2020_E_lineage2.2.1_strain1	ERR3559225
liu2020_E_lineage2.2.1_strain1	ERR3559226
liu2020_E_lineage2.2.1_strain1	ERR3559227
liu2020_E_lineage2.2.1_strain1	ERR3559228
liu2020_E_lineage2.2.1_strain1	ERR3559229
liu2020_E_lineage2.2.1_strain1	ERR3559230
liu2020_E_lineage2.2.1_strain1	ERR3559231
liu2020_E_lineage2.2.1_strain1	ERR3559232
liu2020_E_lineage2.2.1_strain1	ERR3559233
liu2020_E_lineage2.2.1_strain1	ERR3559234
liu2020_E_lineage2.2.1_strain1	ERR3559235
liu2020_E_lineage2.2.1_strain1	ERR3559236
liu2020_E_lineage2.2.1_strain1	ERR3559237
liu2020_E_lineage2.2.1_strain1	ERR3559238
liu2020_E_lineage2.2.1_strain1	ERR3559239
liu2020_E_lineage2.2.1_strain1	ERR3559240
liu2020_E_lineage2.2.1_strain1	ERR3559241
liu2020_E_lineage2.2.1_strain1	ERR3559243
liu2020_E_lineage2.2.1_strain1	ERR3559244
liu2020_E_lineage2.2.1_strain1	ERR3559245
liu2020_E_lineage2.2.1_strain1	ERR3559246
liu2020_E_lineage2.2.1_strain1	ERR3559247
liu2020_E_lineage2.2.1_strain1	ERR3559248
liu2020_E_lineage2.2.1_strain1	ERR3559249
liu2020_E_lineage2.2.1_strain1	ERR3559251
liu2020_E_lineage2.2.1_strain1	ERR3559252
liu2020_E_lineage2.2.1_strain1	ERR3559254
liu2020_E_lineage2.2.1_strain1	ERR3559255
liu2020_E_lineage2.2.1_strain1	ERR3559256
liu2020_E_lineage2.2.1_strain1	ERR3559257
liu2020_E_lineage2.2.1_strain1	ERR3559258
liu2020_E_lineage2.2.1_strain1	ERR3559259
liu2020_E_lineage2.2.1_strain1	ERR3559260
liu2020_E_lineage2.2.1_strain1	ERR3559261
liu2020_E_lineage2.2.1_strain1	ERR3559262
liu2020_E_lineage2.2.1_strain1	ERR3559264
liu2020_E_lineage2.2.1_strain1	ERR3559265
liu2020_E_lineage2.2.1_strain1	ERR3559266
liu2020_E_lineage2.2.1_strain1	ERR3559267
liu2020_E_lineage2.2.1_strain1	ERR3559268
liu2020_E_lineage2.2.1_strain1	ERR3559269
liu2020_E_lineage2.2.1_strain1	ERR3559270
liu2020_E_lineage2.2.1_strain1	ERR3559271
liu2020_E_lineage2.2.1_strain1	ERR3559272
liu2020_G_lineage2.2.1_strain1	ERR3559308
liu2020_G_lineage2.2.1_strain1	ERR3559309
liu2020_G_lineage2.2.1_strain1	ERR3559311
liu2020_G_lineage2.2.1_strain1	ERR3559312
liu2020_G_lineage2.2.1_strain1	ERR3559313
liu2020_G_lineage2.2.1_strain1	ERR3559316
liu2020_H_lineage2.2.1.1_strain1	ERR3559318
liu2020_H_lineage2.2.1.1_strain1	ERR3559319
liu2020_H_lineage2.2.1.1_strain1	ERR3559320
liu2020_H_lineage2.2.1.1_strain1	ERR3559321
liu2020_H_lineage2.2.1.1_strain1	ERR3559322
liu2020_H_lineage2.2.1.1_strain1	ERR3559323
liu2020_H_lineage2.2.1.1_strain1	ERR3559324
liu2020_H_lineage2.2.1.1_strain1	ERR3559325
liu2020_H_lineage2.2.1.1_strain1	ERR3559326
liu2020_H_lineage2.2.1.1_strain1	ERR3559327
liu2020_H_lineage2.2.1.1_strain1	ERR3559328
liu2020_H_lineage2.2.1.1_strain1	ERR3559329
liu2020_H_lineage2.2.1.1_strain1	ERR3559330
liu2020_H_lineage2.2.1.1_strain1	ERR3559331
liu2020_H_lineage2.2.1.1_strain1	ERR3559332
liu2020_H_lineage2.2.1.1_strain1	ERR3559334
liu2020_H_lineage2.2.1.1_strain1	ERR3559335
liu2020_H_lineage2.2.1.1_strain1	ERR3559336
liu2020_H_lineage2.2.1.1_strain1	ERR3559337
liu2020_H_lineage2.2.1.1_strain1	ERR3559338
liu2020_H_lineage2.2.1.1_strain1	ERR3559339
liu2020_H_lineage2.2.1.1_strain1	ERR3559340
liu2020_H_lineage2.2.1.1_strain1	ERR3559341
liu2020_H_lineage2.2.1.1_strain1	ERR3559342
liu2020_H_lineage2.2.1.1_strain1	ERR3559343
liu2020_H_lineage2.2.1.1_strain1	ERR3559344
liu2020_H_lineage2.2.1.1_strain1	ERR3559345
liu2020_H_lineage2.2.1.1_strain1	ERR3559346
liu2020_H_lineage2.2.1.1_strain1	ERR3559347
liu2020_H_lineage2.2.1.1_strain1	ERR3559348
liu2020_H_lineage2.2.1.1_strain1	ERR3559349
liu2020_H_lineage2.2.1.1_strain1	ERR3559350
liu2020_H_lineage2.2.1.1_strain1	ERR3559351
liu2020_H_lineage2.2.1.1_strain1	ERR3559352
liu2020_H_lineage2.2.1.1_strain1	ERR3559353
liu2020_H_lineage2.2.1.1_strain1	ERR3559354
liu2020_H_lineage2.2.1.1_strain1	ERR3559355
liu2020_H_lineage2.2.1.1_strain1	ERR3559356
liu2020_H_lineage2.2.1.1_strain1	ERR3559357
liu2020_I_lineage2.2.1_strain1	ERR3559358
liu2020_I_lineage2.2.1_strain1	ERR3559359
liu2020_I_lineage2.2.1_strain1	ERR3559360
liu2020_I_lineage2.2.1_strain1	ERR3559361
liu2020_I_lineage2.2.1_strain1	ERR3559362
liu2020_I_lineage2.2.1_strain1	ERR3559363
liu2020_I_lineage2.2.1_strain1	ERR3559364
liu2020_I_lineage2.2.1_strain1	ERR3559365
liu2020_I_lineage2.2.1_strain1	ERR3559366
liu2020_I_lineage2.2.1_strain1	ERR3559367
liu2020_I_lineage2.2.1_strain1	ERR3559368
liu2020_I_lineage2.2.1_strain1	ERR3559369
liu2020_I_lineage2.2.1_strain1	ERR3559370
liu2020_I_lineage2.2.1_strain1	ERR3559371
liu2020_I_lineage2.2.1_strain1	ERR3559372
liu2020_I_lineage2.2.1_strain1	ERR3559373
liu2020_I_lineage2.2.1_strain1	ERR3559374
liu2020_I_lineage2.2.1_strain1	ERR3559375
liu2020_I_lineage2.2.1_strain1	ERR3559376
liu2020_I_lineage2.2.1_strain1	ERR3559377
liu2020_I_lineage2.2.1_strain1	ERR3559378
liu2020_I_lineage2.2.1_strain1	ERR3559379
liu2020_I_lineage2.2.1_strain1	ERR3559380
liu2020_I_lineage2.2.1_strain1	ERR3559381
liu2020_I_lineage2.2.1_strain1	ERR3559382
liu2020_I_lineage2.2.1_strain1	ERR3559383
liu2020_I_lineage2.2.1_strain1	ERR3559384
liu2020_I_lineage2.2.1_strain1	ERR3559385
liu2020_I_lineage2.2.1_strain1	ERR3559386
liu2020_I_lineage2.2.1_strain1	ERR3559387
liu2020_I_lineage2.2.1_strain1	ERR3559388
liu2020_I_lineage2.2.1_strain1	ERR3559389
liu2020_I_lineage2.2.1_strain1	ERR3559390
liu2020_I_lineage2.2.1_strain1	ERR3559391
liu2020_I_lineage2.2.1_strain1	ERR3559392
liu2020_I_lineage2.2.1_strain1	ERR3559393
liu2020_I_lineage2.2.1_strain1	ERR3559394
liu2020_I_lineage2.2.1_strain1	ERR3559395
liu2020_I_lineage2.2.1_strain1	ERR3559396
liu2020_I_lineage2.2.1_strain1	ERR3559397
liu2020_I_lineage2.2.1_strain1	ERR3559398
liu2020_I_lineage2.2.1_strain1	ERR3559399
liu2020_I_lineage2.2.1_strain1	ERR3559400
liu2020_I_lineage2.2.1_strain1	ERR3559401
liu2020_I_lineage2.2.1_strain1	ERR3559402
liu2020_I_lineage2.2.1_strain1	ERR3559403
liu2020_I_lineage2.2.1_strain1	ERR3559404
liu2020_I_lineage2.2.1_strain1	ERR3559405
liu2020_I_lineage2.2.1_strain1	ERR3559406
liu2020_J_lineage2.2.1_strain1	ERR3559408
liu2020_J_lineage2.2.1_strain1	ERR3559409
liu2020_J_lineage2.2.1_strain1	ERR3559410
liu2020_J_lineage2.2.1_strain1	ERR3559411
